Date,Relative Humidity (%),Solar Radiation (watts/sq meter),Atmosphere Pressure (mb),Wind Speed (m/sec),Wind Direction (degrees),Battery (volts),Air Temperature (°C),ParametersOutOfRange
7/4/2013 22:00,62.54,0,1015,2.35,231.9,12.99,19.26,
7/4/2013 23:00,68.95,0,1015,2.84,294.7,12.97,18.25,
7/5/2013 0:00,73.4,0,1015,3.92,330.9,12.95,17.08,
7/5/2013 1:00,75,0,1015,2.62,3.02,12.92,16.27,
7/5/2013 2:00,75.3,0,1015,2.29,355.9,12.89,16.14,
7/5/2013 3:00,75.8,0,1015,2.44,338.4,12.88,16.04,
7/5/2013 4:00,78.8,0.05,1015,2.29,330.5,12.86,15.74,
7/5/2013 5:00,81.3,3.67,1015,2.2,223.7,12.86,15.27,
7/5/2013 6:00,82.9,23.52,1015,2.7,191.5,12.88,15.1,
7/5/2013 7:00,82.9,82,1015,3.82,172.1,13.06,15.08,
7/5/2013 8:00,80.7,200.4,1015,3.71,165.6,13.66,15.35,
7/5/2013 9:00,77.4,397.1,1016,3.32,138.9,13.92,15.86,
7/5/2013 10:00,74.4,338.6,1015,2.38,135.6,13.9,16.48,
7/5/2013 11:00,70.6,661.9,1015,2.14,139.8,13.62,17.42,
7/5/2013 12:00,66.51,557.6,1015,2.58,133.3,13.64,18.28,
7/5/2013 13:00,63.13,321,1015,2.87,128.2,13.7,19.1,
7/5/2013 14:00,59.03,202.4,1015,1.96,121.7,13.76,19.87,
7/5/2013 15:00,55.7,178.1,1014,1.16,146.4,13.78,20.54,
7/5/2013 16:00,52.37,554.4,1014,0.99,115,13.67,21.34,
7/5/2013 17:00,51.54,441.7,1014,0.9,212.5,13.71,21.92,
7/5/2013 18:00,51.17,319.4,1014,1.41,229.2,13.67,22.19,
7/5/2013 19:00,55.69,152.6,1013,2.91,224.1,13.67,21.81,
7/5/2013 20:00,58.22,23.74,1013,3.29,222.1,13.32,21.3,
7/5/2013 21:00,61.13,1.43,1013,3.4,217.9,13.07,20.74,
7/5/2013 22:00,63.56,0,1013,2.68,224.3,13,20.45,
7/5/2013 23:00,65.93,0,1013,2.11,216.6,12.97,19.89,
7/6/2013 0:00,69.58,0,1013,2.34,201.6,12.95,19.06,
7/6/2013 1:00,74.5,0,1013,1.71,238.9,12.93,17.99,
7/6/2013 2:00,78.6,0,1013,1.44,197.4,12.91,17.4,
7/6/2013 3:00,82.2,0,1013,2.66,172,12.88,16.37,
7/6/2013 4:00,84.8,0.05,1013,2,191,12.87,15.72,
7/6/2013 5:00,85.4,8.56,1013,1.31,242,12.86,15.63,
7/6/2013 6:00,85.6,51.78,1013,1.59,169.3,13.04,15.46,
7/6/2013 7:00,84,124.8,1014,2.13,190.1,13.57,15.79,
7/6/2013 8:00,77.5,164.4,1014,1.91,276.4,13.62,16.2,
7/6/2013 9:00,71.8,585.7,1013,0.75,85.9,13.77,17.33,
7/6/2013 10:00,72,668.3,1013,1.36,156.8,13.67,17.7,
7/6/2013 11:00,69.25,787,1013,1.62,147.7,13.57,18.71,
7/6/2013 12:00,64.78,811,1013,2.1,137,13.59,19.77,
7/6/2013 13:00,58.44,815,1013,1.12,140.9,13.61,20.93,
7/6/2013 14:00,53.56,783,1012,0.78,45.53,13.62,21.81,
7/6/2013 15:00,49.46,710,1012,0.82,79.7,13.65,22.7,
7/6/2013 16:00,46.69,604.5,1011,3.27,239.3,13.65,23.43,
7/6/2013 17:00,47.28,496.4,1011,4.89,258,13.65,23.42,
7/6/2013 18:00,46.61,339.5,1010,3.77,260.2,13.66,23.68,
7/6/2013 19:00,52.12,174.5,1010,4.6,258.4,13.69,23.39,
7/6/2013 20:00,54.24,53.73,1010,3.4,271.2,13.79,23,
7/6/2013 21:00,56.7,1.05,1011,2.66,284.8,13.14,22.23,
7/6/2013 22:00,58.46,0,1011,3.72,322.1,13,21.41,
7/6/2013 23:00,58.12,0,1011,3.39,350.9,12.97,20.28,
7/7/2013 0:00,61.27,0,1011,2.31,358,12.95,19.31,
7/7/2013 1:00,62.67,0,1011,1.96,0.19,12.94,19,
7/7/2013 2:00,66.85,0,1011,2.32,315,12.91,18.76,
7/7/2013 3:00,71.7,0,1011,1.99,303.3,12.89,18.42,
7/7/2013 4:00,76.3,0.06,1011,2.93,100.3,12.87,18.13,
7/7/2013 5:00,79.1,10.36,1011,3.1,182.2,12.88,16.87,
7/7/2013 6:00,84.9,71.2,1012,3.21,169.5,13.3,16.12,
7/7/2013 7:00,86.3,100.4,1012,3.77,150.6,13.68,15.74,
7/7/2013 8:00,89.5,155.3,1013,4.23,152.6,13.71,15.01,
7/7/2013 9:00,89.3,189.8,1013,3.57,154.2,13.76,14.78,
7/7/2013 10:00,87.7,203.4,1013,3.19,176.2,13.82,15.4,
7/7/2013 11:00,84.7,415.6,1013,3.49,167,13.64,15.89,
7/7/2013 12:00,82.1,631,1013,3.62,143,13.6,16.77,
7/7/2013 13:00,78,768,1012,3.76,131.3,13.62,17.85,
7/7/2013 14:00,74.1,549.1,1012,4.67,129,13.65,19.01,
7/7/2013 15:00,68.56,707,1012,3.42,124,13.63,20.22,
7/7/2013 16:00,64.33,572.7,1012,3.38,125.9,13.68,21.52,
7/7/2013 17:00,59.98,443.6,1011,3.76,126.9,13.7,22.32,
7/7/2013 18:00,58.9,286.1,1011,3.75,134.3,13.75,22.79,
7/7/2013 19:00,60.9,140.4,1011,3.19,143.6,13.94,22.95,
7/7/2013 20:00,64.1,28.11,1012,3.24,170.8,13.31,22.63,
7/7/2013 21:00,66.32,1.13,1012,3.07,176.4,13.05,22,
7/7/2013 22:00,67.99,0,1012,3.44,191.6,12.99,20.71,
7/7/2013 23:00,72.1,0,1012,4,186.2,12.96,19.3,
7/8/2013 0:00,77.6,0,1013,4.5,167.4,12.94,18.01,
7/8/2013 1:00,82.3,0,1013,5.85,152.4,12.92,16.44,
7/8/2013 2:00,84.2,0,1014,5.71,156.1,12.89,15.23,
7/8/2013 3:00,85.1,0,1014,5.19,161.4,12.87,14.79,
7/8/2013 4:00,84.8,0.03,1015,4.41,169.6,12.86,14.62,
7/8/2013 5:00,86.1,5.46,1015,4.73,169.8,12.85,14.35,
7/8/2013 6:00,85.5,38.43,1016,4.55,169,12.91,14.31,
7/8/2013 9:00,82.5,205.5,1017,3.79,171.8,13.31,14.9,
7/8/2013 10:00,78.3,381.7,1017,3.12,171,14.01,15.8,
7/8/2013 11:00,74.9,746,1018,1.94,160.8,13.7,16.68,
7/8/2013 12:00,69.78,806,1018,0.88,134.2,13.65,18.13,
7/8/2013 14:00,65.72,796,1017,0.86,309.9,13.56,20.62,
7/8/2013 15:00,62.9,717,1017,0.61,42.3,13.63,21.3,
7/8/2013 16:00,52.8,590.1,1017,1.79,177.4,13.63,22.9,
7/8/2013 18:00,45.51,244,1017,0.65,154.4,13.17,25.34,
7/8/2013 19:00,49.51,165.4,1017,1.68,282.9,13.62,24.92,
7/8/2013 20:00,54.09,46.77,1017,2.83,267.7,13.71,24.11,
7/8/2013 22:00,67.65,0,1017,2.97,306.7,12.83,21.74,
7/8/2013 23:00,64.9,0,1017,3.1,311.8,12.92,21.32,
7/9/2013 0:00,66.9,0,1017,1.57,355,12.9,20.72,
7/9/2013 2:00,77.1,0,1017,2.21,337.9,12.75,19.2,
7/9/2013 3:00,77.9,0,1017,2.45,317,12.89,18.86,
7/9/2013 4:00,79.5,0.06,1017,3.39,308.7,12.87,18.21,
7/9/2013 6:00,77.8,135.5,1017,3.39,317.6,12.92,17.5,
7/9/2013 7:00,74.5,215.5,1018,2.75,308.8,13.3,17.6,
7/9/2013 8:00,71.4,372.1,1018,2.52,331.6,13.69,18.13,
7/9/2013 10:00,58.84,709,1018,1.14,347.6,13.6,20.98,
7/9/2013 11:00,60.57,766,1018,1.01,113.8,13.88,21.12,
7/9/2013 12:00,58.1,796,1018,0.83,153.5,13.72,22.19,
7/9/2013 14:00,48.08,613.2,1017,2.62,265.2,13.57,25.29,
7/9/2013 15:00,45.47,713,1016,3.51,264.3,13.63,25.67,
7/9/2013 16:00,44.8,636.9,1016,2.81,268.9,13.68,26.17,
7/9/2013 18:00,48.09,289.2,1015,4,273.7,13.24,25.39,
7/9/2013 19:00,51.3,194.4,1015,4.35,286.7,13.74,25.22,
7/9/2013 20:00,53.51,59.4,1015,4.27,333.5,13.37,24.23,
7/9/2013 22:00,55.97,0,1015,3.85,324.5,12.86,20.79,
7/9/2013 23:00,57.53,0,1015,4.01,332.5,12.96,20.3,
7/10/2013 0:00,60.46,0,1015,3.99,344.2,12.94,19.14,
7/10/2013 2:00,64.86,0,1015,3.2,331.2,12.76,17.87,
7/10/2013 3:00,67.61,0,1015,2,322.5,12.86,17.73,
7/10/2013 4:00,70.7,0.05,1015,2.47,298.9,12.86,17.33,
7/10/2013 6:00,83.5,47.86,1016,2.99,151.6,12.79,15.7,
7/10/2013 7:00,83.6,81.7,1016,3.07,141.3,13.07,15.62,
7/10/2013 8:00,82.7,235.1,1016,4.45,147.9,13.5,15.63,
7/10/2013 10:00,81.1,362.6,1017,4.82,196.4,13.37,15.14,
7/10/2013 11:00,78.9,370.2,1017,3.51,186.7,13.89,15.66,
7/10/2013 12:00,76.7,436.1,1017,3.66,178.1,13.88,16.17,
7/10/2013 14:00,70.7,728,1016,1.89,142.9,13.75,17.3,
7/10/2013 15:00,68.34,699.7,1016,0.8,152.7,13.68,17.95,
7/10/2013 16:00,66.46,588.3,1015,1.95,163.6,13.73,18.91,
7/10/2013 18:00,62.01,108.3,1014,1.52,296.5,13.04,20.41,
7/10/2013 19:00,62.3,61.68,1013,1.41,314.6,13.16,20.4,
7/10/2013 20:00,66.8,18.74,1013,3.8,297.3,13.11,19.93,
7/10/2013 22:00,73.3,0,1014,4.62,329.3,12.9,15.9,
7/10/2013 23:00,73.4,0,1014,4.07,334.2,12.98,15.53,
7/11/2013 0:00,72.7,0,1014,3.9,5.94,12.97,14.98,
7/11/2013 2:00,70.9,0,1015,3.72,8.1,12.79,14.42,
7/11/2013 3:00,71.3,0,1015,3.29,13.38,12.88,14.36,
7/11/2013 4:00,71.5,0.01,1015,2.91,29.26,12.88,14.27,
7/11/2013 6:00,74.7,13.63,1016,4.88,121.8,12.78,13.89,
7/11/2013 7:00,73.2,31.42,1017,4.47,123.3,12.88,13.86,
7/11/2013 8:00,70.1,59.41,1017,3.68,115.3,12.93,13.96,
7/11/2013 10:00,68.23,282.7,1017,1.87,111.3,12.88,14.85,
7/11/2013 11:00,65.28,433.6,1017,0.59,221.2,13.28,15.41,
7/11/2013 12:00,63.7,663.4,1017,0.56,200.2,13.68,16.12,
7/11/2013 14:00,48.78,823,1017,0.61,230.4,13.74,18.51,
7/11/2013 15:00,48.43,695.7,1017,1.16,319.9,13.55,18.96,
7/11/2013 18:00,56.83,243,1016,4.67,290.2,13.43,18.77,
7/11/2013 19:00,57.72,63.74,1015,5.36,300.4,13.33,18.42,
7/11/2013 20:00,59.12,11.45,1015,5.2,304.8,13.15,18.18,
7/11/2013 21:00,60.04,0.23,1015,6.42,317,13.05,17.54,
7/11/2013 22:00,63.33,0,1015,4.93,338,13.03,16.48,
7/11/2013 23:00,67.69,0,1015,4.58,346,13.01,15.25,
7/12/2013 0:00,71.5,0,1015,4.02,354.4,12.99,14.32,
7/12/2013 1:00,73,0,1015,4.05,347.6,12.97,13.94,
7/12/2013 2:00,72.7,0,1015,3.77,348.2,12.95,13.82,
7/12/2013 3:00,71.3,0,1015,3.75,345.6,12.94,13.84,
7/12/2013 4:00,70.1,0.02,1015,3.17,349.7,12.91,13.72,
7/12/2013 5:00,68.89,3.51,1015,2.53,350.5,12.88,13.71,
7/12/2013 6:00,69.67,34.04,1015,2.11,6.07,12.92,13.57,
7/12/2013 7:00,74.7,151.6,1015,2.35,339.7,13.25,13.63,
7/12/2013 8:00,75.2,296.7,1015,1.32,334.4,13.72,14.02,
7/12/2013 9:00,72.2,318,1015,1.18,349.9,13.9,14.65,
7/12/2013 10:00,70.1,172.4,1015,0.75,308,13.71,15.26,
7/12/2013 11:00,69.65,212.7,1016,1.24,216.3,13.79,15.5,
7/12/2013 12:00,67.28,440.2,1016,1.02,233.7,13.78,16.01,
7/12/2013 13:00,67.14,512.2,1016,1.76,105.7,13.68,16.39,
7/12/2013 14:00,64.01,386,1017,1.8,202.2,13.78,17.33,
7/12/2013 15:00,62.65,286.3,1017,2.27,217.1,13.96,17.83,
7/12/2013 16:00,60.96,320.8,1016,1.66,234.8,13.7,18.02,
7/12/2013 17:00,58.79,154,1016,0.65,332.7,13.8,18.24,
7/12/2013 18:00,58.86,107.8,1016,2.04,239.4,13.6,18.2,
7/12/2013 19:00,59.12,129.9,1016,2.53,213.5,13.64,18.22,
7/12/2013 20:00,56.54,35.36,1016,2.19,215.1,13.62,18.34,
7/12/2013 21:00,57.22,1.25,1017,1.24,232.1,13.16,17.96,
7/12/2013 22:00,63.66,0,1017,2.01,302.4,13.03,17.71,
7/12/2013 23:00,69.43,0,1018,3.47,341.5,13,16.76,
7/13/2013 0:00,65.78,0,1018,3.48,358.5,12.98,15.73,
7/13/2013 1:00,65.34,0,1018,2.61,351.9,12.96,15.05,
7/13/2013 2:00,66.34,0,1019,2.54,342.6,12.95,15.15,
7/13/2013 3:00,65.38,0,1019,1.36,340.2,12.93,14.86,
7/13/2013 4:00,63.45,0.03,1019,2.42,322.6,12.91,14.92,
7/13/2013 5:00,74.8,8.5,1020,2.35,345.3,12.93,14.16,
7/13/2013 6:00,72.5,89.9,1020,1.94,353.8,13.6,14.19,
7/13/2013 7:00,71.5,216.4,1021,2.77,330.8,13.92,14.05,
7/13/2013 8:00,70,367.9,1021,2.39,320.8,13.82,14.47,
7/13/2013 9:00,69.63,517.5,1021,2.22,312.7,13.68,14.95,
7/13/2013 10:00,67.14,654.5,1021,1.47,333.7,13.6,15.91,
7/13/2013 11:00,63.21,758,1021,1.18,332.1,13.6,17.27,
7/13/2013 12:00,60.97,806,1021,1.47,138.8,13.61,18.36,
7/13/2013 13:00,52.5,544.3,1021,2.46,259.1,13.6,19.91,
7/13/2013 14:00,46.09,606.7,1020,2.43,282.2,13.63,20.95,
7/13/2013 15:00,46.26,626.9,1020,4.11,315.4,13.63,21.67,
7/13/2013 16:00,45.04,386.1,1019,4.41,308.9,13.64,22.11,
7/13/2013 17:00,44.24,478.3,1019,4.04,303,13.68,22.47,
7/13/2013 18:00,44.08,378.3,1019,4.4,291.5,13.69,22.49,
7/13/2013 19:00,44.81,206,1019,4.95,286.2,13.71,22.22,
7/13/2013 20:00,52.51,52.34,1018,4.42,277.3,13.77,21.4,
7/13/2013 21:00,55.75,1.11,1018,4.91,289.3,13.16,20.28,
7/13/2013 22:00,58.01,0,1019,4.88,309.3,13.02,19.43,
7/13/2013 23:00,59.31,0,1019,3.97,342.2,12.98,18.41,
7/14/2013 0:00,62.29,0,1019,3.33,356.5,12.96,16.85,
7/14/2013 1:00,65.04,0,1019,3.76,344.9,12.94,16.17,
7/14/2013 2:00,64.85,0,1019,1.9,360,12.92,15.83,
7/14/2013 3:00,66.61,0,1019,2.13,350.9,12.91,15.85,
7/14/2013 4:00,72.4,0.01,1019,2.68,307.9,12.89,15.55,
7/14/2013 5:00,78.5,6.66,1019,1.97,300,12.89,14.9,
7/14/2013 6:00,76.9,78.8,1019,2.02,294.4,13.11,14.93,
7/14/2013 7:00,75.4,225.4,1019,1.38,315.1,13.72,15.37,
7/14/2013 8:00,66.93,376.5,1019,1,294.1,13.77,16.27,
7/14/2013 9:00,63.49,532.8,1019,1.79,349.5,13.65,16.93,
7/14/2013 10:00,59.36,695.4,1019,1.03,117.6,13.62,18.14,
7/14/2013 11:00,57.81,789,1018,2.17,151.3,13.59,19.05,
7/14/2013 12:00,50.07,799,1018,1.43,161.1,13.61,20.9,
7/14/2013 13:00,45,824,1018,0.64,160.7,13.6,22.21,
7/14/2013 14:00,42.6,812,1017,1.5,153,13.61,23.17,
7/14/2013 15:00,35.77,718,1017,0.81,154.2,13.65,24.05,
7/14/2013 16:00,36.56,610.8,1016,1.37,350.5,13.65,24.45,
7/14/2013 17:00,43.41,459.6,1015,1.29,323.4,13.66,24.71,
7/14/2013 18:00,45.71,332.7,1015,2.93,303.3,13.72,24.45,
7/14/2013 19:00,46.13,186,1015,4.22,286.7,13.71,23.73,
7/14/2013 20:00,46.57,52.66,1015,6,304.8,13.69,22.54,
7/14/2013 21:00,49.74,0.99,1015,6.21,322.8,13.12,21.12,
7/14/2013 22:00,52.69,0,1015,6.89,317.2,13,19.54,
7/14/2013 23:00,54.07,0,1015,4.33,343.2,12.97,18.27,
7/15/2013 0:00,60.39,0,1015,4.05,333.1,12.94,17.77,
7/15/2013 1:00,64.01,0,1015,4.41,336.7,12.93,17.24,
7/15/2013 2:00,66.6,0,1015,3.09,349.3,12.91,16.48,
7/15/2013 3:00,68.48,0,1015,2.81,356.4,12.88,16.2,
7/15/2013 4:00,70.4,0.02,1015,3.13,332.1,12.86,16.04,
7/15/2013 5:00,71.6,6.7,1016,2.85,342.5,12.89,15.71,
7/15/2013 6:00,73.7,76.1,1016,3.59,329.9,13.44,15.41,
7/15/2013 7:00,74.8,211.7,1016,3.34,325.8,13.83,15.5,
7/15/2013 8:00,73.5,371.3,1016,3.07,323,13.88,16.24,
7/15/2013 9:00,73.1,518.8,1016,3.72,331.1,13.69,17.57,
7/15/2013 10:00,68.49,651.6,1016,3.78,340.2,13.59,18.72,
7/15/2013 11:00,60.56,740,1016,3.12,334.8,13.59,19.62,
7/15/2013 12:00,58.33,798,1015,3.28,319.4,13.58,20.66,
7/15/2013 13:00,53.28,578.6,1015,4.1,283,13.63,21.76,
7/15/2013 14:00,49.4,619.5,1014,5.74,293.3,13.63,22.55,
7/15/2013 15:00,47.39,419.7,1014,5.87,292.8,13.64,23.31,
7/15/2013 16:00,46.5,495.4,1013,5.58,297.1,13.67,23.6,
7/15/2013 17:00,45.79,525.5,1012,5.76,297.2,13.69,23.98,
7/15/2013 18:00,43.69,375.9,1012,5.69,298.6,13.7,24.16,
7/15/2013 19:00,44.91,195.6,1011,5.61,296.6,13.75,24.02,
7/15/2013 20:00,44.86,57.46,1011,4.47,298.6,13.71,23.59,
7/15/2013 21:00,49.66,0.99,1011,3.59,324.8,13.14,22.89,
7/15/2013 22:00,46.66,0,1011,3.53,334.1,13.01,22.36,
7/15/2013 23:00,49.06,0,1011,5,332.6,12.97,21.57,
7/16/2013 0:00,50.43,0,1011,4.73,331.3,12.95,20.89,
7/16/2013 1:00,49.23,0,1011,4.04,340.4,12.94,20.47,
7/16/2013 2:00,54.48,0,1011,3.85,331.4,12.92,19.91,
7/16/2013 3:00,54.4,0,1011,3.14,339.6,12.89,19.37,
7/16/2013 4:00,58.36,0.03,1011,4.06,328.5,12.88,18.79,
7/16/2013 5:00,59.59,6.3,1010,4.13,328.9,12.89,18.43,
7/16/2013 6:00,62.54,75.7,1010,4.48,322.7,13.35,18.32,
7/16/2013 7:00,66.01,214.7,1010,3.94,321.3,13.72,18.16,
7/16/2013 8:00,64.02,364.2,1010,4.67,334.3,13.89,19.29,
7/16/2013 9:00,59.34,509.4,1010,4.42,326.7,13.72,21.03,
7/16/2013 10:00,54.75,656.6,1010,3.94,311.1,13.62,22.55,
7/16/2013 11:00,55.01,680.2,1010,3.33,309,13.6,23.39,
7/16/2013 12:00,54.57,565.8,1010,2.43,302.6,13.63,24.34,
7/16/2013 13:00,42.87,478.4,1010,3.59,271.5,13.64,25.7,
7/16/2013 14:00,47.77,554.1,1009,3.23,303.9,13.64,25.72,
7/16/2013 15:00,41.95,347.5,1009,2.63,281.3,13.85,26.66,
7/16/2013 16:00,44.15,162.8,1010,2.95,268.5,13.86,25.92,
7/16/2013 17:00,54.78,77.6,1009,4.1,316.7,13.41,24.68,
7/16/2013 18:00,57.81,259.1,1008,3.81,306.6,13.74,24.78,
7/16/2013 19:00,53.99,126.6,1008,3.48,304.1,13.54,25.22,
7/16/2013 20:00,53.29,24.23,1009,2.05,285.5,13.24,24.75,
7/16/2013 21:00,59.3,0.54,1010,1.96,319.2,13.03,23.8,
7/16/2013 22:00,57.67,0,1010,2.23,233.2,12.98,23.46,
7/16/2013 23:00,53.03,0,1010,2.08,183.3,12.96,22.98,
7/17/2013 0:00,61.05,0,1011,1.84,100.8,12.94,22.66,
7/17/2013 1:00,65.43,0,1011,3.4,161.1,12.92,22.08,
7/17/2013 2:00,68.24,0.63,1013,5.63,154.5,12.9,20.21,
7/17/2013 3:00,73.7,0,1014,5.76,145.1,12.88,19.07,
7/17/2013 4:00,80.1,0,1015,5.8,153.9,12.87,17.41,
7/17/2013 5:00,82.2,4.03,1015,7.35,140.9,12.86,17.11,
7/17/2013 6:00,80.6,30.77,1016,6.37,139.3,12.91,16.99,
7/17/2013 7:00,80.8,49.64,1017,6.95,139.7,12.97,16.89,
7/17/2013 8:00,79.2,127.8,1017,6.46,140.4,13.26,17.02,
